ID;name;capacity;fixcosts;longitude;latitude
1;location_A;1800;18000;13,405;52,53
2;location_B;1400;14000;13,46;52,48
3;location_C;1500;15000;13,355;52,57
4;location_D;800;8000;13,5;52,43
5;location_E;2100;21000;13,33;52,59
6;location_F;950;9500;13,52;52,45
7;location_G;1550;15500;13,28;52,6
8;location_H;1250;12500;13,54;52,41
9;location_I;2000;20000;13,4;52,63
10;location_J;1900;19000;13,47;52,54
11;location_K;2100;21000;13,25;52,5
12;location_L;1950;19500;13,41;52,49
13;location_M;2200;22000;13,49;52,61
14;location_N;1600;16000;13,58;52,42
15;location_O;2000;20000;13,37;52,58
